,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,start_date,bat_start_hour,rat_start_hour,rat_end_hour
517,23:06,0.078489345,fast,22:53,23:06,776,0,1,4,19:19,3.786944444,1,29/4/2018,23,22,23
518,01:30,22.0,pick_bat,01:26,01:44,239,1,1,4,19:19,6.196944444,1,30/4/2018,1,1,1
520,01:31,9.0,pick_bat,01:26,01:44,290,1,1,4,19:19,6.211111111,1,30/4/2018,1,1,1
521,01:31,4.0,fast,01:26,01:44,304,0,1,4,19:19,6.215,1,30/4/2018,1,1,1
522,01:32,0.085746166,rat_pick,01:26,01:44,315,1,1,4,19:19,6.218055556,1,30/4/2018,1,1,1
523,01:32,4.0,pick,01:26,01:44,323,0,1,4,19:19,6.220277778,1,30/4/2018,1,1,1
524,01:33,0.040027684,rat,01:26,01:44,407,1,0,4,19:19,6.243611111,1,30/4/2018,1,1,1
525,01:37,0.076567662,fast,01:26,01:44,633,0,1,4,19:19,6.306388889,1,30/4/2018,1,1,1
526,01:40,0.072746343,bat_and_rat,01:26,01:44,800,1,0,4,19:19,6.352777778,1,30/4/2018,1,1,1
527,01:40,0.055695432,bat_and_rat,01:26,01:44,808,1,0,4,19:19,6.355,1,30/4/2018,1,1,1
530,01:42,3.0,fast,01:26,01:44,925,0,1,4,19:19,6.3875,1,30/4/2018,1,1,1
531,02:42,0.094277126,fast,02:41,02:55,63,0,1,4,19:19,7.387777778,1,30/4/2018,2,2,2
532,02:42,1.0,fast,02:41,02:55,91,0,1,4,19:19,7.395555556,1,30/4/2018,2,2,2
533,02:43,0.019462583,no_food,02:41,02:55,142,0,0,4,19:19,7.409722222,1,30/4/2018,2,2,2
534,02:43,7.0,pick,02:41,02:55,162,0,1,4,19:19,7.415277778,1,30/4/2018,2,2,2
535,02:44,0.037865482,fast,02:41,02:55,191,0,1,4,19:19,7.423333333,1,30/4/2018,2,2,2
536,02:44,4.0,fast,02:41,02:55,222,0,1,4,19:19,7.431944444,1,30/4/2018,2,2,2
537,02:46,0.037828205,bat_and_pick,02:41,02:55,291,1,1,4,19:19,7.451111111,1,30/4/2018,2,2,2
538,02:46,22.0,bat_and_pick,02:41,02:55,288,1,1,4,19:19,7.450277778,1,30/4/2018,2,2,2
539,02:51,0.099086619,fast,02:41,02:55,624,0,1,4,19:19,7.543611111,1,30/4/2018,2,2,2
540,02:51,0.033212611,bat_and_pick,02:41,02:55,630,1,1,4,19:19,7.545277778,1,30/4/2018,2,2,2
541,02:55,0.096084094,bat_and_rat,02:41,02:55,878,1,0,4,19:19,7.614166667,1,30/4/2018,2,2,2
542,03:53,7.0,bat_and_pick,03:43,04:42,605,1,1,4,19:19,8.582777778,1,30/4/2018,3,3,4
543,03:54,6.0,pick,03:43,04:42,653,0,1,4,19:19,8.596111111,1,30/4/2018,3,3,4
544,01:34,5.0,rat_and_bat,01:26,01:44,445,1,0,4,19:19,6.254166667,1,30/4/2018,1,1,1
545,21:57,8.0,rat,21:56,22:00,47,1,0,4,19:18,2.662777778,1,27/4/2018,21,21,22
546,22:00,5.0,rat,21:56,22:00,199,1,0,4,19:18,2.705,1,27/4/2018,22,21,22
547,22:12,17.0,other_bats,22:08,22:12,214,1,0,4,19:18,2.9,1,27/4/2018,22,22,22
548,22:41,1.0,rat,22:39,22:41,127,1,0,4,19:18,3.389722222,1,27/4/2018,22,22,22
549,23:01,2.0,fast,23:01,23:12,18,0,1,4,19:18,3.732777778,1,27/4/2018,23,23,23
551,23:02,1.0,fast,23:01,23:12,79,0,1,4,19:18,3.749722222,1,27/4/2018,23,23,23
552,23:03,2.0,fast,23:01,23:12,105,0,1,4,19:18,3.756944444,1,27/4/2018,23,23,23
553,23:11,5.0,pick_and_others,23:01,23:12,576,1,1,4,19:18,3.887777778,1,27/4/2018,23,23,23
554,23:11,13.0,bats,23:01,23:12,592,1,0,4,19:18,3.892222222,1,27/4/2018,23,23,23
555,23:12,15.0,bats,23:01,23:12,623,1,0,4,19:18,3.900833333,1,27/4/2018,23,23,23
556,23:16,1.0,fast,23:15,23:17,35,0,1,4,19:18,3.97,1,27/4/2018,23,23,23
557,23:16,3.0,fast,23:15,23:17,74,0,1,4,19:18,3.980833333,1,27/4/2018,23,23,23
558,23:17,2.0,fast,23:15,23:17,120,0,1,4,19:18,3.993611111,1,27/4/2018,23,23,23
559,23:42,6.0,pick,23:41,23:43,23,0,1,4,19:18,4.401111111,1,27/4/2018,23,23,23
560,00:07,11.0,rat_and_pick,00:04,00:14,174,1,1,4,19:18,4.829722222,1,28/4/2018,0,0,0
561,00:10,3.0,rat,00:04,00:14,330,1,0,4,19:18,4.873055556,1,28/4/2018,0,0,0
562,00:10,6.0,pick,00:04,00:14,363,0,1,4,19:18,4.882222222,1,28/4/2018,0,0,0
563,00:10,5.0,bat_fight,00:04,00:14,365,1,0,4,19:18,4.882777778,1,28/4/2018,0,0,0
564,00:10,5.0,bat_fight,00:04,00:14,365,1,0,4,19:18,4.882777778,1,28/4/2018,0,0,0
565,00:11,2.0,fast,00:04,00:14,373,0,1,4,19:18,4.885,1,28/4/2018,0,0,0
566,00:11,4.0,pick,00:04,00:14,401,0,1,4,19:18,4.892777778,1,28/4/2018,0,0,0
567,00:11,1.0,rat,00:04,00:14,408,1,0,4,19:18,4.894722222,1,28/4/2018,0,0,0
568,00:12,7.0,rat,00:04,00:14,434,1,0,4,19:18,4.901944444,1,28/4/2018,0,0,0
569,00:12,6.0,pick,00:04,00:14,449,0,1,4,19:18,4.906111111,1,28/4/2018,0,0,0
570,00:13,5.0,pick_and_rat,00:04,00:14,496,1,1,4,19:18,4.919166667,1,28/4/2018,0,0,0
571,00:13,18.0,pick,00:04,00:14,497,0,1,4,19:18,4.919444444,1,28/4/2018,0,0,0
572,00:13,3.0,fast,00:04,00:14,520,0,1,4,19:18,4.925833333,1,28/4/2018,0,0,0
573,00:13,10.0,bat_and_rat,00:04,00:14,544,1,0,4,19:18,4.9325,1,28/4/2018,0,0,0
574,01:06,1.0,fast,01:06,01:07,19,0,1,4,19:18,5.808888889,1,28/4/2018,1,1,1
575,01:06,0.063724824,fast,01:06,01:07,35,0,1,4,19:18,5.813333333,1,28/4/2018,1,1,1
576,01:06,5.0,others,01:06,01:07,42,1,0,4,19:18,5.815277778,1,28/4/2018,1,1,1
577,01:07,6.0,pick,01:06,01:07,74,0,1,4,19:18,5.824166667,1,28/4/2018,1,1,1
578,02:14,15.0,others,02:13,02:14,55,1,0,4,19:18,6.935833333,1,28/4/2018,2,2,2
579,02:14,4.0,pick,02:13,02:14,90,0,1,4,19:18,6.945555556,1,28/4/2018,2,2,2
580,02:22,5.0,rat_disappear,02:21,02:23,60,1,0,4,19:18,7.071388889,1,28/4/2018,2,2,2
581,02:22,0.026148246,fast,02:21,02:23,90,0,1,4,19:18,7.079722222,1,28/4/2018,2,2,2
582,02:49,7.0,pick_and_bat,02:47,02:51,120,1,1,4,19:18,7.528333333,1,28/4/2018,2,2,2
583,02:49,7.0,pick,02:47,02:51,128,0,1,4,19:18,7.530555556,1,28/4/2018,2,2,2
584,02:50,0.08833199,fast,02:47,02:51,139,0,1,4,19:18,7.533611111,1,28/4/2018,2,2,2
585,02:50,8.0,pick,02:47,02:51,170,0,1,4,19:18,7.542222222,1,28/4/2018,2,2,2
586,02:50,28.0,pick_and_others,02:47,02:51,195,1,1,4,19:18,7.549166667,1,28/4/2018,2,2,2
587,02:51,6.0,pick,02:47,02:51,211,0,1,4,19:18,7.553611111,1,28/4/2018,2,2,2
588,03:25,15.0,rat_and_bat,03:24,03:25,31,1,0,4,19:18,8.1225,1,28/4/2018,3,3,3
589,03:25,2.0,fast,03:24,03:25,45,0,1,4,19:18,8.126388889,1,28/4/2018,3,3,3
590,03:36,3.0,fast,03:33,03:36,194,0,1,4,19:18,8.305,1,28/4/2018,3,3,3
591,03:51,3.0,fast,03:48,04:09,172,0,1,4,19:18,8.554722222,1,28/4/2018,3,3,4
592,05:16,17.0,rat,05:14,05:21,115,1,0,4,19:18,9.978888889,1,28/4/2018,5,5,5
593,05:20,1.0,pick,05:14,05:21,370,0,1,4,19:18,10.04972222,1,28/4/2018,5,5,5
594,05:55,3.0,fast,05:55,06:05,56,0,1,4,19:18,10.63222222,1,28/4/2018,5,5,6
596,20:42,1.0,others,20:40,20:43,159,1,0,4,19:12,1.516388889,1,18/4/2018,20,20,20
597,20:43,12.0,others,20:40,20:43,199,1,0,4,19:12,1.5275,1,18/4/2018,20,20,20
598,00:19,7.0,pick,00:18,00:19,59,0,1,4,19:12,5.118888889,1,19/4/2018,0,0,0
599,01:15,3.0,fast,01:12,01:18,187,0,1,4,19:12,6.058055556,1,19/4/2018,1,1,1
600,04:31,8.0,rat,04:28,04:34,200,1,0,4,19:12,9.331666667,1,19/4/2018,4,4,4
601,04:32,1.0,fast,04:28,04:34,210,0,1,4,19:12,9.334444444,1,19/4/2018,4,4,4
602,04:33,5.0,pick,04:28,04:34,274,0,1,4,19:12,9.352222222,1,19/4/2018,4,4,4
603,04:33,14.0,pick,04:28,04:34,280,0,1,4,19:12,9.353888889,1,19/4/2018,4,4,4
609,21:15,2.0,rat,21:14,21:16,38,1,0,4,19:20,1.926388889,1,30/4/2018,21,21,21
610,21:16,2.0,bats,21:14,21:16,109,1,0,4,19:20,1.946111111,1,30/4/2018,21,21,21
613,22:11,6.0,bat_fight,22:08,22:15,139,1,0,4,19:20,2.853611111,1,30/4/2018,22,22,22
614,22:12,11.0,pick,22:08,22:15,228,0,1,4,19:20,2.878333333,1,30/4/2018,22,22,22
615,22:15,13.0,bat,22:08,22:15,407,1,0,4,19:20,2.928055556,1,30/4/2018,22,22,22
619,23:29,4.0,bat_fight,23:19,23:32,616,1,0,4,19:20,4.154444444,1,30/4/2018,23,23,23
620,23:29,9.0,bat_fight,23:19,23:32,655,1,0,4,19:20,4.165277778,1,30/4/2018,23,23,23
621,23:30,12.0,bat_fight,23:19,23:32,673,1,0,4,19:20,4.170277778,1,30/4/2018,23,23,23
622,23:30,11.0,bat_pick,23:19,23:32,685,1,1,4,19:20,4.173611111,1,30/4/2018,23,23,23
623,23:31,2.0,fast,23:19,23:32,773,0,1,4,19:20,4.198055556,1,30/4/2018,23,23,23
626,19:38,5.0,bat,19:38,19:42,9,1,0,4,19:14,0.4025,1,22/4/2018,19,19,19
627,19:41,2.0,fast,19:38,19:42,203,0,1,4,19:14,0.456388889,1,22/4/2018,19,19,19
628,00:11,7.0,pick,00:08,00:12,161,0,1,4,19:14,4.955,1,23/4/2018,0,0,0
629,00:12,2.0,pick,00:08,00:12,238,0,1,4,19:14,4.976388889,1,23/4/2018,0,0,0
630,00:46,5.0,fast,00:45,00:50,64,0,1,4,19:14,5.536388889,1,23/4/2018,0,0,0
631,00:48,4.0,pick,00:45,00:50,174,0,1,4,19:14,5.566944444,1,23/4/2018,0,0,0
632,00:49,4.0,pick,00:45,00:50,263,0,1,4,19:14,5.591666667,1,23/4/2018,0,0,0
633,00:49,16.0,pick,00:45,00:50,276,0,1,4,19:14,5.595277778,1,23/4/2018,0,0,0
634,01:08,1.0,fast,01:07,01:10,105,0,1,4,19:14,5.916111111,1,23/4/2018,1,1,1
635,01:10,2.0,fast,01:07,01:10,183,0,1,4,19:14,5.937777778,1,23/4/2018,1,1,1
636,01:41,3.0,pick,01:41,01:44,1,0,1,4,19:14,6.456111111,1,23/4/2018,1,1,1
637,00:47,4.0,pick,00:45,00:50,161,0,1,4,19:14,5.563333333,1,23/4/2018,0,0,0
639,19:31,28.0,pick,19:24,19:32,433,0,1,4,19:17,0.243055556,1,25/4/2018,19,19,19
640,19:51,2.0,fast_and_pick,19:51,19:51,5,0,1,4,19:15,0.605555556,1,23/4/2018,19,19,19
641,03:57,27.0,other directions,03:51,03:57,389,1,0,4,19:15,8.714444444,1,24/4/2018,3,3,3
643,19:22,1.0,fast,19:18,19:26,254,0,1,4,19:13,0.164722222,1,20/4/2018,19,19,19
644,19:25,5.0,fast,19:18,19:26,383,0,1,4,19:13,0.200555556,1,20/4/2018,19,19,19
645,19:25,0.039481249,fast,19:18,19:26,440,0,1,4,19:13,0.216388889,1,20/4/2018,19,19,19
649,21:22,2.0,fast,21:20,21:34,139,0,1,4,19:13,2.155555556,1,20/4/2018,21,21,21
650,21:24,25.0,pick,21:20,21:34,250,0,1,4,19:13,2.186388889,1,20/4/2018,21,21,21
652,21:59,2.0,pick,21:59,21:59,12,0,1,4,19:13,2.772222222,1,20/4/2018,21,21,21
653,00:49,1.0,pick,00:49,00:55,0,0,1,4,19:13,5.601666667,1,21/4/2018,0,0,0
654,00:50,28.0,bat_and_rat,00:49,00:55,107,1,0,4,19:13,5.631388889,1,21/4/2018,0,0,0
655,00:54,2.0,bat_fight,00:49,00:55,349,1,0,4,19:13,5.698611111,1,21/4/2018,0,0,0
656,00:55,0.071239584,fast,00:49,00:55,383,0,1,4,19:13,5.708055556,1,21/4/2018,0,0,0
657,01:44,11.0,rat,01:43,01:45,25,1,0,4,19:13,6.516666667,1,21/4/2018,1,1,1
658,02:08,5.0,bats,02:06,02:18,121,1,0,4,19:13,6.933055556,1,21/4/2018,2,2,2
659,02:09,0.033235649,fast,02:06,02:18,150,0,1,4,19:13,6.941111111,1,21/4/2018,2,2,2
660,02:09,3.0,pick,02:06,02:18,172,0,1,4,19:13,6.947222222,1,21/4/2018,2,2,2
661,02:14,15.0,rat,02:06,02:18,460,1,0,4,19:13,7.027222222,1,21/4/2018,2,2,2
662,02:15,1.0,fast,02:06,02:18,482,0,1,4,19:13,7.033333333,1,21/4/2018,2,2,2
663,02:16,1.0,rat,02:06,02:18,580,1,0,4,19:13,7.060555556,1,21/4/2018,2,2,2
664,02:16,17.0,rat,02:06,02:18,587,1,0,4,19:13,7.0625,1,21/4/2018,2,2,2
665,02:17,0.0502264,fast,02:06,02:18,603,0,1,4,19:13,7.066944444,1,21/4/2018,2,2,2
666,02:17,4.0,bat_fight,02:06,02:18,619,1,0,4,19:13,7.071388889,1,21/4/2018,2,2,2
667,02:17,1.0,fight,02:06,02:18,621,0,0,4,19:13,7.071944444,1,21/4/2018,2,2,2
668,02:17,0.057320093,no_food,02:06,02:18,629,0,0,4,19:13,7.074166667,1,21/4/2018,2,2,2
669,02:17,2.0,bat,02:06,02:18,628,1,0,4,19:13,7.073888889,1,21/4/2018,2,2,2
670,02:17,2.0,fast,02:06,02:18,638,0,1,4,19:13,7.076666667,1,21/4/2018,2,2,2
671,03:26,1.0,fast,03:21,03:26,261,0,1,4,19:13,8.218611111,1,21/4/2018,3,3,3
672,03:26,6.0,rat,03:21,03:26,279,1,0,4,19:13,8.223611111,1,21/4/2018,3,3,3
673,05:54,4.0,fast,05:50,06:09,285,0,1,4,19:13,10.69888889,1,21/4/2018,5,5,6
674,00:54,17.0,pick,00:49,00:55,336,0,1,4,19:13,5.695,1,21/4/2018,0,0,0
676,23:55,4.0,rat,23:44,23:55,629,1,0,5,19:24,4.518888889,1,6/5/2018,23,23,23
678,03:16,10.0,bat_fight,03:12,03:16,234,1,0,5,19:24,7.870833333,1,7/5/2018,3,3,3
679,03:45,23.0,rat,03:38,03:54,423,1,0,5,19:24,8.3525,1,7/5/2018,3,3,3
680,04:28,2.0,rat,04:25,04:36,158,1,0,5,19:24,9.072777778,1,7/5/2018,4,4,4
681,04:29,5.0,other_bats,04:25,04:36,203,1,0,5,19:24,9.085277778,1,7/5/2018,4,4,4
683,05:32,10.0,pick,05:30,05:42,149,0,1,5,19:24,10.14583333,1,7/5/2018,5,5,5
684,05:33,2.0,rat,05:30,05:42,187,1,0,5,19:24,10.15638889,1,7/5/2018,5,5,5
688,02:33,3.0,bat_rat,02:33,02:39,10,1,0,5,19:26,7.122777778,1,9/5/2018,2,2,2
689,02:34,2.0,fast,02:33,02:39,61,0,1,5,19:26,7.136944444,1,9/5/2018,2,2,2
690,02:35,1.0,fast,02:33,02:39,132,0,1,5,19:26,7.156666667,1,9/5/2018,2,2,2
691,02:35,4.0,pick,02:33,02:39,137,0,1,5,19:26,7.158055556,1,9/5/2018,2,2,2
692,02:35,5.0,pick,02:33,02:39,144,0,1,5,19:26,7.16,1,9/5/2018,2,2,2
693,02:38,21.0,pick,02:33,02:39,318,0,1,5,19:26,7.208333333,1,9/5/2018,2,2,2
694,02:39,7.0,pick,02:33,02:39,367,0,1,5,19:26,7.221944444,1,9/5/2018,2,2,2
695,02:39,23.0,pick,02:33,02:39,378,0,1,5,19:26,7.225,1,9/5/2018,2,2,2
696,03:23,1.0,fast,03:21,03:30,78,0,1,5,19:26,7.953888889,1,9/5/2018,3,3,3
697,03:29,8.0,rat,03:21,03:30,483,1,0,5,19:26,8.066388889,1,9/5/2018,3,3,3
698,03:30,8.0,rat,03:21,03:30,530,1,0,5,19:26,8.079444444,1,9/5/2018,3,3,3
699,19:09,4.0,pick,18:58,19:17,618,0,1,5,19:21,-0.198611111,1,1/5/2018,19,18,19
700,19:10,1.0,fast,18:58,19:17,703,0,1,5,19:21,-0.175,1,1/5/2018,19,18,19
701,19:14,1.0,fast,18:58,19:17,939,0,1,5,19:21,-0.109444444,1,1/5/2018,19,18,19
702,21:28,1.0,fast,21:27,21:38,62,0,1,5,19:21,2.120277778,1,1/5/2018,21,21,21
703,21:34,1.0,fast,21:27,21:38,443,0,1,5,19:21,2.226111111,1,1/5/2018,21,21,21
704,22:11,4.0,pup_and_mon,22:06,22:11,275,0,0,5,19:21,2.833888889,1,1/5/2018,22,22,22
705,23:12,23.0,pick,23:08,23:12,261,0,1,5,19:21,3.858611111,1,1/5/2018,23,23,23
706,23:56,10.0,pick,23:54,00:00,130,0,1,5,19:21,4.592777778,1,1/5/2018,23,23,0
707,00:47,2.0,pick,00:46,00:58,10,0,1,5,19:21,5.434166667,1,2/5/2018,0,0,0
708,00:47,19.0,rat,00:46,00:58,12,1,0,5,19:21,5.434722222,1,2/5/2018,0,0,0
709,00:49,1.0,fast,00:46,00:58,142,0,1,5,19:21,5.470833333,1,2/5/2018,0,0,0
711,00:51,2.0,bat_fight,00:46,00:58,253,1,0,5,19:21,5.501666667,1,2/5/2018,0,0,0
712,00:51,6.0,bat_and_rat,00:46,00:58,280,1,0,5,19:21,5.509166667,1,2/5/2018,0,0,0
714,00:53,20.0,pick_bat_rat,00:46,00:58,396,1,1,5,19:21,5.541388889,1,2/5/2018,0,0,0
715,00:53,22.0,pick,00:46,00:58,408,0,1,5,19:21,5.544722222,1,2/5/2018,0,0,0
716,00:54,7.0,pick,00:46,00:58,433,0,1,5,19:21,5.551666667,1,2/5/2018,0,0,0
717,00:57,4.0,rat,00:46,00:58,627,1,0,5,19:21,5.605555556,1,2/5/2018,0,0,0
718,01:35,2.0,rat,01:34,01:36,99,1,0,5,19:21,6.248333333,1,2/5/2018,1,1,1
720,02:20,0.010871342,bat,02:14,02:24,404,1,0,5,19:21,6.995555556,1,2/5/2018,2,2,2
721,02:21,4.0,bat,02:14,02:24,449,1,0,5,19:21,7.008055556,1,2/5/2018,2,2,2
722,02:22,6.0,bat,02:14,02:24,481,1,0,5,19:21,7.016944444,1,2/5/2018,2,2,2
724,03:51,1.0,fast,03:50,03:51,23,0,1,5,19:21,8.5025,1,2/5/2018,3,3,3
725,04:22,23.0,rat_pick,04:14,04:27,489,1,1,5,19:21,9.026111111,1,2/5/2018,4,4,4
726,05:09,0.019932178,fast,05:07,05:10,110,0,1,5,19:21,9.813055556,1,2/5/2018,5,5,5
727,00:51,22.0,bat_fight,00:46,00:58,296,1,0,5,19:21,5.513611111,1,2/5/2018,0,0,0
729,02:22,7.0,bat,02:14,02:24,507,1,0,5,19:21,7.024166667,1,2/5/2018,2,2,2
730,01:03,4.0,rat,01:02,01:03,78,1,0,5,19:25,5.644166667,1,8/5/2018,1,1,1
731,02:33,2.0,fast,02:33,02:35,48,0,1,5,19:25,7.147777778,1,8/5/2018,2,2,2
732,02:35,7.0,pick,02:33,02:35,123,0,1,5,19:25,7.168611111,1,8/5/2018,2,2,2
733,02:35,5.0,rat,02:33,02:35,161,1,0,5,19:25,7.179166667,1,8/5/2018,2,2,2
734,03:13,3.0,fast,03:13,03:17,31,0,1,5,19:26,7.794166667,1,10/5/2018,3,3,3
735,04:44,3.0,rat,04:43,04:48,29,1,0,5,19:26,9.301111111,1,10/5/2018,4,4,4
737,22:09,4.0,fast,22:08,22:13,15,0,1,5,19:27,2.702222222,1,10/5/2018,22,22,22
738,22:10,1.0,fast,22:08,22:13,105,0,1,5,19:27,2.727222222,1,10/5/2018,22,22,22
739,22:12,7.0,rat,22:08,22:13,218,1,0,5,19:27,2.758611111,1,10/5/2018,22,22,22
740,22:12,24.0,rat,22:08,22:13,228,1,0,5,19:27,2.761388889,1,10/5/2018,22,22,22
741,23:57,22.0,rat,23:55,00:02,87,1,0,5,19:27,4.505833333,1,10/5/2018,23,23,0
742,02:45,2.0,rat,02:35,02:47,627,1,0,5,19:27,7.314722222,1,11/5/2018,2,2,2
743,02:46,21.0,pick_and_rat,02:35,02:47,670,1,1,5,19:27,7.326666667,1,11/5/2018,2,2,2
744,02:47,8.0,pick_and_rat,02:35,02:47,705,1,1,5,19:27,7.336388889,1,11/5/2018,2,2,2
745,04:30,8.0,rat,04:25,04:36,331,1,0,5,19:27,9.059444444,1,11/5/2018,4,4,4
747,22:46,1.0,fast,22:41,22:48,247,0,1,5,19:32,3.234444444,1,17/5/2018,22,22,22
748,22:46,9.0,rat,22:41,22:48,252,1,0,5,19:32,3.235833333,1,17/5/2018,22,22,22
749,22:48,4.0,rat_pick,22:41,22:48,383,1,1,5,19:32,3.272222222,1,17/5/2018,22,22,22
750,23:49,3.0,bat_and_rat,23:49,23:58,28,1,0,5,19:32,4.299166667,1,17/5/2018,23,23,23
751,23:50,1.0,rat,23:49,23:58,54,1,0,5,19:32,4.306388889,1,17/5/2018,23,23,23
752,23:55,11.0,rat_bat,23:49,23:58,348,1,0,5,19:32,4.388055556,1,17/5/2018,23,23,23
754,23:58,16.0,rat_pick,23:49,23:58,529,1,1,5,19:32,4.438333333,1,17/5/2018,23,23,23
761,21:52,8.0,rat,21:42,22:11,624,1,0,5,19:34,2.311111111,1,20/5/2018,21,21,22
763,02:54,26.0,rat_pick,02:49,02:57,271,1,1,5,19:34,7.338888889,1,21/5/2018,2,2,2
768,03:26,14.0,rat,03:24,03:26,111,1,0,5,19:31,7.918055556,1,17/5/2018,3,3,3
770,00:06,4.0,fast,00:06,00:09,16,0,1,5,19:20,4.773888889,1,1/5/2018,0,0,0
771,00:06,19.0,bat_fight,00:06,00:09,41,1,0,5,19:20,4.780833333,1,1/5/2018,0,0,0
772,00:07,4.0,bat_fight,00:06,00:09,50,1,0,5,19:20,4.783333333,1,1/5/2018,0,0,0
773,00:08,14.0,rat,00:06,00:09,134,1,0,5,19:20,4.806666667,1,1/5/2018,0,0,0
775,00:29,0.095162728,fast,00:28,00:44,11,0,1,5,19:20,5.150555556,1,1/5/2018,0,0,0
777,00:32,3.0,fast,00:28,00:44,241,0,1,5,19:20,5.214444444,1,1/5/2018,0,0,0
778,00:33,0.042360901,fast,00:28,00:44,250,0,1,5,19:20,5.216944444,1,1/5/2018,0,0,0
779,00:33,2.0,fast,00:28,00:44,271,0,1,5,19:20,5.222777778,1,1/5/2018,0,0,0
780,00:33,3.0,bat,00:28,00:44,276,1,0,5,19:20,5.224166667,1,1/5/2018,0,0,0
781,00:33,2.0,fast,00:28,00:44,304,0,1,5,19:20,5.231944444,1,1/5/2018,0,0,0
782,00:34,8.0,bat_and_rat,00:28,00:44,352,1,0,5,19:20,5.245277778,1,1/5/2018,0,0,0
784,00:39,4.0,bat,00:28,00:44,649,1,0,5,19:20,5.327777778,1,1/5/2018,0,0,0
786,00:42,18.0,rat,00:28,00:44,819,1,0,5,19:20,5.375,1,1/5/2018,0,0,0
787,00:43,2.0,fast,00:28,00:44,889,0,1,5,19:20,5.394444444,1,1/5/2018,0,0,0
788,00:44,8.0,bat_fight,00:28,00:44,932,1,0,5,19:20,5.406388889,1,1/5/2018,0,0,0
790,02:33,2.0,fast,02:33,02:37,1,0,1,5,19:20,7.231111111,1,1/5/2018,2,2,2
791,03:31,4.0,pick,03:24,03:33,386,0,1,5,19:20,8.188055556,1,1/5/2018,3,3,3
792,03:56,7.0,rat,03:52,03:59,257,1,0,5,19:20,8.608611111,1,1/5/2018,3,3,3
793,03:57,4.0,fast,03:52,03:59,295,0,1,5,19:20,8.619166667,1,1/5/2018,3,3,3
794,05:42,19.0,pick_rat_and_bat,05:40,05:43,125,1,1,5,19:20,10.37722222,1,1/5/2018,5,5,5
795,00:07,1.0,rat,00:06,00:09,62,1,0,5,19:20,4.786666667,1,1/5/2018,0,0,0
796,00:09,5.0,pick,00:06,00:09,210,0,1,5,19:20,4.827777778,1,1/5/2018,0,0,0
797,00:31,2.0,fast,00:28,00:44,177,0,1,5,19:20,5.196666667,1,1/5/2018,0,0,0
798,00:35,13.0,fast,00:28,00:44,377,0,1,5,19:20,5.252222222,1,1/5/2018,0,0,0
800,00:44,1.0,fast,00:28,00:44,915,0,1,5,19:20,5.401666667,1,1/5/2018,0,0,0
802,22:40,8.0,rat_pick,22:38,22:40,118,1,1,5,19:29,3.194166667,1,13/5/2018,22,22,22
804,01:24,26.0,bat,01:16,01:30,482,1,0,5,19:29,5.929166667,1,14/5/2018,1,1,1
805,05:42,4.0,bat,05:41,05:43,11,1,0,5,19:29,10.21861111,1,14/5/2018,5,5,5
806,03:36,14.0,fast,03:34,03:45,140,0,1,5,19:29,8.131944444,1,14/5/2018,3,3,3
807,19:20,6.0,pick_rat,19:15,19:26,260,1,1,5,19:21,-0.015277778,1,2/5/2018,19,19,19
808,19:52,3.0,rat,19:52,19:55,9,1,0,5,19:21,0.530555556,1,2/5/2018,19,19,19
809,19:53,1.0,rat,19:52,19:55,51,1,0,5,19:21,0.542222222,1,2/5/2018,19,19,19
810,19:55,1.0,rat,19:52,19:55,146,1,0,5,19:21,0.568611111,1,2/5/2018,19,19,19
811,21:01,18.0,pick,20:59,21:06,89,0,1,5,19:21,1.670555556,1,2/5/2018,21,20,21
812,21:01,1.0,rat,20:59,21:06,124,1,0,5,19:21,1.680277778,1,2/5/2018,21,20,21
813,21:05,4.0,rat,20:59,21:06,317,1,0,5,19:21,1.733888889,1,2/5/2018,21,20,21
815,22:56,1.0,fast,22:51,22:57,293,0,1,5,19:21,3.592777778,1,2/5/2018,22,22,22
816,23:13,16.0,rat_and_pick,23:13,23:20,5,1,1,5,19:21,3.868611111,1,2/5/2018,23,23,23
817,23:20,2.0,no_food,23:13,23:20,448,0,0,5,19:21,3.991666667,1,2/5/2018,23,23,23
818,23:20,1.0,fast,23:13,23:20,451,0,1,5,19:21,3.9925,1,2/5/2018,23,23,23
820,03:29,13.0,rat,03:21,03:33,453,1,0,5,19:21,8.133333333,1,3/5/2018,3,3,3
821,03:30,1.0,rat_and_bat,03:21,03:33,566,1,0,5,19:21,8.164722222,1,3/5/2018,3,3,3
822,03:31,1.0,fast,03:21,03:33,625,0,1,5,19:21,8.181111111,1,3/5/2018,3,3,3
823,03:51,20.0,rat,03:48,03:53,137,1,0,5,19:21,8.500833333,1,3/5/2018,3,3,3
824,21:59,14.0,rat,21:55,22:09,264,1,0,5,19:24,2.595833333,1,5/5/2018,21,21,22
825,22:49,15.0,rat,22:48,22:49,90,1,0,5,19:24,3.425555556,1,5/5/2018,22,22,22
826,22:55,23.0,rat,22:54,23:00,44,1,0,5,19:24,3.522777778,1,5/5/2018,22,22,23
827,23:26,1.0,fast,23:25,23:26,62,0,1,5,19:24,4.048888889,1,5/5/2018,23,23,23
