start_time_hour,sunset_time_hour,rat_period_start_hour,rat_period_end_hour,rat_activity_minutes,time_after_sunset_minutes,start_month,start_dayofweek,start_day_index,habit_category_neutral_response,habit_category_uncertain
3.75,19.283333333333335,3.716666666666667,3.7666666666666666,3.0,-932.0,4,4,122,1,0
3.75,19.283333333333335,3.716666666666667,3.7666666666666666,3.0,-932.0,4,4,122,1,0
4.016666666666667,19.283333333333335,3.9833333333333334,4.016666666666667,2.0,-916.0,4,4,122,1,0
4.2,19.283333333333335,4.183333333333334,4.266666666666667,5.0,-905.0,4,4,122,1,0
4.6,19.283333333333335,4.466666666666667,4.733333333333333,16.0,-881.0,4,4,122,0,0
22.466666666666665,19.283333333333335,22.416666666666668,22.6,11.0,191.0,4,3,121,1,0
23.083333333333332,19.283333333333335,23.066666666666666,23.15,5.0,228.0,4,3,121,1,0
23.083333333333332,19.283333333333335,23.066666666666666,23.15,5.0,228.0,4,3,121,0,0
2.8,19.283333333333335,2.6333333333333333,2.966666666666667,20.0,-989.0,4,4,122,1,0
3.4166666666666665,19.283333333333335,3.3666666666666667,3.4166666666666665,3.0,-952.0,4,4,122,1,0
3.75,19.283333333333335,3.716666666666667,3.7666666666666666,3.0,-932.0,4,4,122,1,0
19.416666666666668,19.2,19.383333333333333,19.55,10.0,13.0,4,3,114,1,0
19.433333333333334,19.2,19.383333333333333,19.55,10.0,14.0,4,3,114,1,0
19.45,19.2,19.383333333333333,19.55,10.0,15.0,4,3,114,1,0
19.533333333333335,19.2,19.383333333333333,19.55,10.0,20.0,4,3,114,0,0
21.55,19.2,21.483333333333334,21.65,10.0,141.0,4,3,114,0,0
21.633333333333333,19.2,21.483333333333334,21.65,10.0,146.0,4,3,114,1,0
21.633333333333333,19.2,21.483333333333334,21.65,10.0,146.0,4,3,114,0,0
22.566666666666666,19.2,22.566666666666666,22.716666666666665,9.0,202.0,4,3,114,0,0
22.7,19.2,22.566666666666666,22.716666666666665,9.0,210.0,4,3,114,0,0
0.05,19.2,0.0,0.3,18.0,-1149.0,4,4,115,1,0
0.05,19.2,0.0,0.3,18.0,-1149.0,4,4,115,0,0
0.06666666666666667,19.2,0.0,0.3,18.0,-1148.0,4,4,115,0,0
0.06666666666666667,19.2,0.0,0.3,18.0,-1148.0,4,4,115,0,0
0.08333333333333333,19.2,0.0,0.3,18.0,-1147.0,4,4,115,0,0
0.1,19.2,0.0,0.3,18.0,-1146.0,4,4,115,0,0
0.13333333333333333,19.2,0.0,0.3,18.0,-1144.0,4,4,115,0,0
0.16666666666666666,19.2,0.0,0.3,18.0,-1142.0,4,4,115,1,0
0.18333333333333332,19.2,0.0,0.3,18.0,-1141.0,4,4,115,1,0
0.18333333333333332,19.2,0.0,0.3,18.0,-1141.0,4,4,115,1,0
0.2,19.2,0.0,0.3,18.0,-1140.0,4,4,115,1,0
0.21666666666666667,19.2,0.0,0.3,18.0,-1139.0,4,4,115,1,0
0.23333333333333334,19.2,0.0,0.3,18.0,-1138.0,4,4,115,0,0
0.23333333333333334,19.2,0.0,0.3,18.0,-1138.0,4,4,115,1,0
2.0,19.2,1.9833333333333334,2.05,4.0,-1032.0,4,4,115,1,0
2.0,19.2,1.9833333333333334,2.05,4.0,-1032.0,4,4,115,1,0
2.0,19.2,1.9833333333333334,2.05,4.0,-1032.0,4,4,115,0,0
2.0,19.2,1.9833333333333334,2.05,4.0,-1032.0,4,4,115,1,0
2.0166666666666666,19.2,1.9833333333333334,2.05,4.0,-1031.0,4,4,115,1,0
2.0166666666666666,19.2,1.9833333333333334,2.05,4.0,-1031.0,4,4,115,1,0
2.033333333333333,19.2,1.9833333333333334,2.05,4.0,-1030.0,4,4,115,0,0
2.05,19.2,1.9833333333333334,2.05,4.0,-1029.0,4,4,115,1,0
2.8,19.2,2.7333333333333334,2.85,7.0,-984.0,4,4,115,0,0
2.8,19.2,2.7333333333333334,2.85,7.0,-984.0,4,4,115,0,0
2.8166666666666664,19.2,2.7333333333333334,2.85,7.0,-983.0,4,4,115,1,0
2.8166666666666664,19.2,2.7333333333333334,2.85,7.0,-983.0,4,4,115,1,0
3.45,19.2,3.4,3.6,12.0,-945.0,4,4,115,1,0
3.5166666666666666,19.2,3.4,3.6,12.0,-941.0,4,4,115,1,0
3.533333333333333,19.2,3.4,3.6,12.0,-940.0,4,4,115,1,0
3.533333333333333,19.2,3.4,3.6,12.0,-940.0,4,4,115,0,0
3.55,19.2,3.4,3.6,12.0,-939.0,4,4,115,1,0
3.55,19.2,3.4,3.6,12.0,-939.0,4,4,115,1,0
3.55,19.2,3.4,3.6,12.0,-939.0,4,4,115,1,0
3.5666666666666664,19.2,3.4,3.6,12.0,-938.0,4,4,115,1,0
3.95,19.2,3.85,4.016666666666667,10.0,-915.0,4,4,115,1,0
3.9833333333333334,19.2,3.85,4.016666666666667,10.0,-913.0,4,4,115,1,0
4.0,19.2,3.85,4.016666666666667,10.0,-912.0,4,4,115,1,0
19.5,19.233333333333334,19.5,19.583333333333332,5.0,16.0,4,5,116,0,0
19.966666666666665,19.233333333333334,19.95,20.1,9.0,44.0,4,5,116,1,0
19.983333333333334,19.233333333333334,19.95,20.1,9.0,45.0,4,5,116,1,0
20.0,19.233333333333334,19.95,20.1,9.0,46.0,4,5,116,0,0
22.95,19.233333333333334,22.95,22.983333333333334,2.0,223.0,4,5,116,1,0
22.95,19.233333333333334,22.95,22.983333333333334,2.0,223.0,4,5,116,1,0
22.966666666666665,19.233333333333334,22.95,22.983333333333334,2.0,224.0,4,5,116,1,0
22.983333333333334,19.233333333333334,22.95,22.983333333333334,2.0,225.0,4,5,116,1,0
22.983333333333334,19.233333333333334,22.95,22.983333333333334,2.0,225.0,4,5,116,1,0
23.866666666666667,19.233333333333334,23.833333333333332,23.933333333333334,6.0,278.0,4,5,116,1,0
23.866666666666667,19.233333333333334,23.833333333333332,23.933333333333334,6.0,278.0,4,5,116,1,0
23.883333333333333,19.233333333333334,23.833333333333332,23.933333333333334,6.0,279.0,4,5,116,1,0
