bat_landing_to_food,risk,reward,month,season,bat_start_hour,sin_hour,cos_hour,bat_landing_to_food_lag1,log1p_seconds_after_rat_arrival,log1p_hours_after_sunset,log1p_bat_start_hour,log1p_rat_start_hour,log1p_rat_end_hour
0.096196,0,1,4,1,19,0.0,1.0,3.0,4.343805421853684,0.0,2.995732273553991,2.995732273553991,2.995732273553991
4.0,0,1,5,1,19,0.0,1.0,0.096196,6.428105272684596,0.0,2.995732273553991,2.9444389791664403,2.995732273553991
1.0,0,1,5,1,19,0.0,1.0,4.0,6.556778356158042,0.0,2.995732273553991,2.9444389791664403,2.995732273553991
0.025345863,0,1,4,1,19,0.0,1.0,1.0,1.0986122886681098,0.0,2.995732273553991,2.995732273553991,2.995732273553991
6.0,1,1,5,1,19,0.0,1.0,0.025345863,5.564520407322694,0.0,2.995732273553991,2.995732273553991,2.995732273553991
1.0,0,1,5,1,19,0.0,1.0,6.0,6.84587987526405,0.0,2.995732273553991,2.9444389791664403,2.995732273553991
0.063701466,0,1,4,1,19,0.0,1.0,1.0,4.5217885770490405,0.0,2.995732273553991,2.995732273553991,2.995732273553991
4.0,1,0,5,1,19,0.0,1.0,0.063701466,6.836259277277067,0.0,2.995732273553991,2.9444389791664403,2.995732273553991
1.0,1,0,5,1,19,0.0,1.0,4.0,6.673297967767654,0.0,2.995732273553991,2.9444389791664403,2.995732273553991
1.0,0,1,4,1,19,0.043110811819286464,0.9990702967781007,1.0,5.541263545158426,0.1524826225357671,2.995732273553991,2.995732273553991,2.995732273553991
5.0,0,1,4,1,19,0.05248120058331233,0.9986219122297157,1.0,5.950642552587727,0.1827844129928289,2.995732273553991,2.995732273553991,2.995732273553991
0.039481249,0,1,4,1,19,0.05662018235142505,0.9983957907315572,5.0,6.089044875446846,0.19588654244854206,2.995732273553991,2.995732273553991,2.995732273553991
0.051207358,0,1,4,1,19,0.05683799708744029,0.9983834143689929,0.039481249,4.330733340286331,0.19657139552864542,2.995732273553991,2.995732273553991,2.995732273553991
1.0,0,1,4,1,19,0.06351628843811159,0.9979808019711836,0.051207358,5.123963979403259,0.21734901778468446,2.995732273553991,2.995732273553991,2.995732273553991
28.0,0,1,4,1,19,0.06358886354009673,0.9979761802937378,1.0,6.073044534100405,0.21757250662229627,2.995732273553991,2.995732273553991,2.995732273553991
0.050211363,0,1,2,0,17,0.06482258746328698,0.997896804361335,28.0,4.941642422609304,0.22136419159222684,2.8903717578961645,2.8903717578961645,2.8903717578961645
1.0,0,1,4,1,19,0.06808784419154863,0.9976793299820075,0.050211363,5.442417710521793,0.2313321553960905,2.995732273553991,2.995732273553991,2.995732273553991
4.0,1,0,4,1,19,0.07244037935398104,0.9973727444837518,1.0,3.2188758248682006,0.24447007101397356,2.995732273553991,2.995732273553991,2.995732273553991
5.0,1,0,4,1,19,0.09106710801263336,0.9958447579006556,4.0,6.306275286948016,0.29886926159512656,2.995732273553991,2.995732273553991,2.995732273553991
5.0,1,0,4,1,19,0.10517935389124593,0.9944532686431374,5.0,2.302585092994046,0.33825635841471435,2.995732273553991,2.995732273553991,2.995732273553991
2.0,0,1,4,1,19,0.11919824575111901,0.9928704740346829,5.0,5.318119993844216,0.3759600082046236,2.995732273553991,2.995732273553991,2.995732273553991
3.0,1,0,5,1,19,0.13845292107641313,0.990369016400154,2.0,2.302585092994046,0.4256307779931399,2.995732273553991,2.995732273553991,2.995732273553991
1.0,1,0,5,1,19,0.14147718041917642,0.9899415171719185,3.0,3.9512437185814275,0.43322437759834687,2.995732273553991,2.995732273553991,2.995732273553991
1.0,1,0,5,1,19,0.1483128547701661,0.9889404921985567,1.0,4.990432586778736,0.45019058515780125,2.995732273553991,2.995732273553991,2.995732273553991
2.0,0,1,4,1,19,0.15787083364862528,0.9874597712732849,1.0,1.791759469228055,0.4734698374990384,2.995732273553991,2.995732273553991,2.995732273553991
1.0,0,1,4,1,19,0.19159417964690695,0.9814742331439112,2.0,2.8903717578961645,0.5518076055516007,2.995732273553991,2.995732273553991,3.044522437723423
20.0,1,1,4,1,19,0.19808504562449605,0.9801848370077663,1.0,4.6913478822291435,0.566260330843306,2.995732273553991,2.995732273553991,3.044522437723423
9.0,1,0,4,1,20,0.1996529745772845,0.9798666693700946,20.0,4.875197323201151,0.5697232651391831,3.044522437723423,2.995732273553991,3.044522437723423
0.050105814,0,1,2,0,18,0.23916901234300209,0.9709779521363361,9.0,4.007333185232471,0.653626422397662,2.9444389791664403,2.9444389791664403,2.9444389791664403
2.0,1,0,5,1,20,0.24594183387491134,0.96928458893673,0.050105814,3.784189633918261,0.6674019309791005,3.044522437723423,3.044522437723423,3.044522437723423
6.0,1,0,5,1,20,0.26997030787192255,0.9628686477747311,2.0,4.007333185232471,0.7149902086454633,3.044522437723423,3.044522437723423,3.044522437723423
1.0,1,0,2,0,18,0.3153039950894621,0.9489907221256826,6.0,5.117993812416755,0.7998817518707781,2.9444389791664403,2.9444389791664403,2.9444389791664403
4.0,1,0,2,0,18,0.3240550174193054,0.9460382369044994,1.0,1.3862943611198906,0.8156106043140423,2.9444389791664403,2.9444389791664403,2.9444389791664403
3.0,1,0,2,0,18,0.32756147040585215,0.9448298699266212,4.0,4.356708826689592,0.8218579447282949,2.9444389791664403,2.9444389791664403,2.9444389791664403
0.094784549,0,1,4,1,20,0.3441376999566934,0.9389191889979227,3.0,4.663439094112067,0.8509815432886983,3.044522437723423,3.044522437723423,3.044522437723423
