feature,coef,pval
const,6.217487003861167,8.26659963213328e-70
risk,4.025380418340968,2.9222955722771347e-15
reward,2.6031078703501245,1.8965516207744215e-07
log1p_seconds_after_rat_arrival,0.7088478246824699,0.016360760930032164
